Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	10	OT	M,M	R00906-02-2_human	32	0.3125
101089059,101089077	U,M	10:101089059-101089077-MM	3	OT	M,M	R00906-02-2_human	32	0.09375
101089059,101089077	U,U	10:101089059-101089077-MM	19	OT	M,M	R00906-02-2_human	32	0.59375
101089060,101089078	M,M	10:101089059-101089077-MM	11	OB	M,M	R00906-02-2_human	23	0.4782608695652174
101089060,101089078	U,M	10:101089059-101089077-MM	1	OB	M,M	R00906-02-2_human	23	0.043478260869565216
101089060,101089078	U,U	10:101089059-101089077-MM	11	OB	M,M	R00906-02-2_human	23	0.4782608695652174
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	3	OT	M,M,M	R00906-02-2_human	23	0.13043478260869565
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	20	OT	M,M,M	R00906-02-2_human	23	0.8695652173913043
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	6	OB	M,M,M	R00906-02-2_human	13	0.46153846153846156
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	7	OB	M,M,M	R00906-02-2_human	13	0.5384615384615384
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	8	OT	M,M,M,M	R00906-02-2_human	29	0.27586206896551724
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	21	OT	M,M,M,M	R00906-02-2_human	29	0.7241379310344828
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	2	OB	M,M,M,M	R00906-02-2_human	12	0.16666666666666666
101089281,101089286,101089305,101089307	U,U,U,U	10:101089280-101089306-MMMM	10	OB	M,M,M,M	R00906-02-2_human	12	0.8333333333333334
101089331,101089333,101089336,101089339	M,M,M,M	10:101089331-101089339-MMMM	11	OT	M,M,M,M	R00906-02-2_human	25	0.44
101089331,101089333,101089336,101089339	U,U,U,U	10:101089331-101089339-MMMM	14	OT	M,M,M,M	R00906-02-2_human	25	0.56
101089332,101089334,101089337,101089340	M,M,M,M	10:101089331-101089339-MMMM	4	OB	M,M,M,M	R00906-02-2_human	16	0.25
101089332,101089334,101089337,101089340	U,U,U,U	10:101089331-101089339-MMMM	12	OB	M,M,M,M	R00906-02-2_human	16	0.75
102894707,102894709	M,M	10:102894707-102894709-MM	82	OT	M,M	R00906-02-2_human	104	0.7884615384615384
102894707,102894709	M,U	10:102894707-102894709-MM	4	OT	M,M	R00906-02-2_human	104	0.038461538461538464
102894707,102894709	U,M	10:102894707-102894709-MM	2	OT	M,M	R00906-02-2_human	104	0.019230769230769232
102894707,102894709	U,U	10:102894707-102894709-MM	16	OT	M,M	R00906-02-2_human	104	0.15384615384615385
102894708,102894710	M,M	10:102894707-102894709-MM	10	OB	M,M	R00906-02-2_human	11	0.9090909090909091
102894708,102894710	U,U	10:102894707-102894709-MM	1	OB	M,M	R00906-02-2_human	11	0.09090909090909091
102894874,102894891,102894893,102894895	M,M,M,M	10:102894874-102894895-MMMM	3	OT	M,M,M,M	R00906-02-2_human	10	0.3
102894874,102894891,102894893,102894895	U,M,M,M	10:102894874-102894895-MMMM	5	OT	M,M,M,M	R00906-02-2_human	10	0.5
102894874,102894891,102894893,102894895	U,U,U,U	10:102894874-102894895-MMMM	2	OT	M,M,M,M	R00906-02-2_human	10	0.2
102894875,102894892,102894894,102894896	M,M,M,M	10:102894874-102894895-MMMM	21	OB	M,M,M,M	R00906-02-2_human	30	0.7
102894875,102894892,102894894,102894896	U,M,M,M	10:102894874-102894895-MMMM	7	OB	M,M,M,M	R00906-02-2_human	30	0.23333333333333334
102894875,102894892,102894894,102894896	U,U,U,U	10:102894874-102894895-MMMM	2	OB	M,M,M,M	R00906-02-2_human	30	0.06666666666666667
102894960,102894979,102894982	M,M,M	10:102894960-102894982-MMM	3	OT	M,M,M	R00906-02-2_human	9	0.3333333333333333
102894960,102894979,102894982	U,M,M	10:102894960-102894982-MMM	2	OT	M,M,M	R00906-02-2_human	9	0.2222222222222222
102894960,102894979,102894982	U,U,U	10:102894960-102894982-MMM	4	OT	M,M,M	R00906-02-2_human	9	0.4444444444444444
102894961,102894980,102894983	M,U,M	10:102894960-102894982-MMM	2	OB	M,M,M	R00906-02-2_human	35	0.05714285714285714
102894961,102894980,102894983	M,U,U	10:102894960-102894982-MMM	4	OB	M,M,M	R00906-02-2_human	35	0.11428571428571428
102894961,102894980,102894983	U,U,U	10:102894960-102894982-MMM	29	OB	M,M,M	R00906-02-2_human	35	0.8285714285714286
102895106,102895112,102895133	M,M,M	10:102895106-102895133-MMM	53	OT	M,M,M	R00906-02-2_human	67	0.7910447761194029
102895106,102895112,102895133	M,M,U	10:102895106-102895133-MMM	13	OT	M,M,M	R00906-02-2_human	67	0.19402985074626866
102895106,102895112,102895133	U,M,M	10:102895106-102895133-MMM	1	OT	M,M,M	R00906-02-2_human	67	0.014925373134328358
102895107,102895113,102895134	M,M,M	10:102895106-102895133-MMM	115	OB	M,M,M	R00906-02-2_human	172	0.6686046511627907
102895107,102895113,102895134	M,M,U	10:102895106-102895133-MMM	47	OB	M,M,M	R00906-02-2_human	172	0.27325581395348836
102895107,102895113,102895134	M,U,U	10:102895106-102895133-MMM	2	OB	M,M,M	R00906-02-2_human	172	0.011627906976744186
102895107,102895113,102895134	U,M,M	10:102895106-102895133-MMM	2	OB	M,M,M	R00906-02-2_human	172	0.011627906976744186
102895107,102895113,102895134	U,M,U	10:102895106-102895133-MMM	1	OB	M,M,M	R00906-02-2_human	172	0.005813953488372093
102895107,102895113,102895134	U,U,U	10:102895106-102895133-MMM	5	OB	M,M,M	R00906-02-2_human	172	0.029069767441860465
105877944,105877952	M,M	10:105877944-105877952-UU	11	OT	U,U	R00906-02-2_human	1315	0.008365019011406844
105877944,105877952	U,U	10:105877944-105877952-UU	1304	OT	U,U	R00906-02-2_human	1315	0.9916349809885932
105877945,105877953	U,U	10:105877944-105877952-UU	988	OB	U,U	R00906-02-2_human	988	1.0
105877988,105877993	M,M	10:105877988-105877993-UU	7	OT	U,U	R00906-02-2_human	1393	0.005025125628140704
105877988,105877993	M,U	10:105877988-105877993-UU	1	OT	U,U	R00906-02-2_human	1393	0.0007178750897343862
105877988,105877993	U,U	10:105877988-105877993-UU	1385	OT	U,U	R00906-02-2_human	1393	0.994256999282125
105877989,105877994	U,U	10:105877988-105877993-UU	1022	OB	U,U	R00906-02-2_human	1022	1.0
106400278,106400285,106400289,106400299,106400301,106400305	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	6	OT	M,M,M,M,M,M	R00906-02-2_human	23	0.2608695652173913
106400278,106400285,106400289,106400299,106400301,106400305	U,M,U,U,U,U	10:106400278-106400305-MMMMMM	1	OT	M,M,M,M,M,M	R00906-02-2_human	23	0.043478260869565216
106400278,106400285,106400289,106400299,106400301,106400305	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	16	OT	M,M,M,M,M,M	R00906-02-2_human	23	0.6956521739130435
106400279,106400286,106400290,106400300,106400302,106400306	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	2	OB	M,M,M,M,M,M	R00906-02-2_human	15	0.13333333333333333
106400279,106400286,106400290,106400300,106400302,106400306	M,M,M,U,M,M	10:106400278-106400305-MMMMMM	1	OB	M,M,M,M,M,M	R00906-02-2_human	15	0.06666666666666667
106400279,106400286,106400290,106400300,106400302,106400306	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	12	OB	M,M,M,M,M,M	R00906-02-2_human	15	0.8
111964240,111964249,111964258	M,U,M	10:111964240-111964258-UUU	1	OT	U,U,U	R00906-02-2_human	547	0.0018281535648994515
111964240,111964249,111964258	M,U,U	10:111964240-111964258-UUU	12	OT	U,U,U	R00906-02-2_human	547	0.021937842778793418
111964240,111964249,111964258	U,M,M	10:111964240-111964258-UUU	7	OT	U,U,U	R00906-02-2_human	547	0.012797074954296161
111964240,111964249,111964258	U,M,U	10:111964240-111964258-UUU	8	OT	U,U,U	R00906-02-2_human	547	0.014625228519195612
111964240,111964249,111964258	U,U,M	10:111964240-111964258-UUU	33	OT	U,U,U	R00906-02-2_human	547	0.0603290676416819
111964240,111964249,111964258	U,U,U	10:111964240-111964258-UUU	486	OT	U,U,U	R00906-02-2_human	547	0.8884826325411335
111964241,111964250,111964259	M,M,M	10:111964240-111964258-UUU	1	OB	U,U,U	R00906-02-2_human	727	0.001375515818431912
111964241,111964250,111964259	M,M,U	10:111964240-111964258-UUU	9	OB	U,U,U	R00906-02-2_human	727	0.012379642365887207
111964241,111964250,111964259	M,U,M	10:111964240-111964258-UUU	11	OB	U,U,U	R00906-02-2_human	727	0.015130674002751032
111964241,111964250,111964259	M,U,U	10:111964240-111964258-UUU	29	OB	U,U,U	R00906-02-2_human	727	0.039889958734525444
