Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	22	OT	M,M	R00906-02-3_human	47	0.46808510638297873
101089059,101089077	U,M	10:101089059-101089077-MM	1	OT	M,M	R00906-02-3_human	47	0.02127659574468085
101089059,101089077	U,U	10:101089059-101089077-MM	24	OT	M,M	R00906-02-3_human	47	0.5106382978723404
101089060,101089078	M,M	10:101089059-101089077-MM	26	OB	M,M	R00906-02-3_human	32	0.8125
101089060,101089078	U,U	10:101089059-101089077-MM	6	OB	M,M	R00906-02-3_human	32	0.1875
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	16	OT	M,M,M	R00906-02-3_human	38	0.42105263157894735
101089190,101089205,101089210	U,M,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-02-3_human	38	0.02631578947368421
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	21	OT	M,M,M	R00906-02-3_human	38	0.5526315789473685
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	16	OB	M,M,M	R00906-02-3_human	23	0.6956521739130435
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	7	OB	M,M,M	R00906-02-3_human	23	0.30434782608695654
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	11	OT	M,M,M,M	R00906-02-3_human	28	0.39285714285714285
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-02-3_human	28	0.03571428571428571
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	16	OT	M,M,M,M	R00906-02-3_human	28	0.5714285714285714
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	12	OB	M,M,M,M	R00906-02-3_human	19	0.631578947368421
101089281,101089286,101089305,101089307	U,U,U,U	10:101089280-101089306-MMMM	7	OB	M,M,M,M	R00906-02-3_human	19	0.3684210526315789
101089331,101089333,101089336,101089339	M,M,M,M	10:101089331-101089339-MMMM	14	OT	M,M,M,M	R00906-02-3_human	28	0.5
101089331,101089333,101089336,101089339	U,U,U,U	10:101089331-101089339-MMMM	14	OT	M,M,M,M	R00906-02-3_human	28	0.5
101089332,101089334,101089337,101089340	M,M,M,M	10:101089331-101089339-MMMM	20	OB	M,M,M,M	R00906-02-3_human	28	0.7142857142857143
101089332,101089334,101089337,101089340	U,U,U,U	10:101089331-101089339-MMMM	8	OB	M,M,M,M	R00906-02-3_human	28	0.2857142857142857
102894707,102894709	M,M	10:102894707-102894709-MM	112	OT	M,M	R00906-02-3_human	124	0.9032258064516129
102894707,102894709	M,U	10:102894707-102894709-MM	1	OT	M,M	R00906-02-3_human	124	0.008064516129032258
102894707,102894709	U,M	10:102894707-102894709-MM	1	OT	M,M	R00906-02-3_human	124	0.008064516129032258
102894707,102894709	U,U	10:102894707-102894709-MM	10	OT	M,M	R00906-02-3_human	124	0.08064516129032258
102894708,102894710	M,M	10:102894707-102894709-MM	18	OB	M,M	R00906-02-3_human	23	0.782608695652174
102894708,102894710	M,U	10:102894707-102894709-MM	1	OB	M,M	R00906-02-3_human	23	0.043478260869565216
102894708,102894710	U,M	10:102894707-102894709-MM	1	OB	M,M	R00906-02-3_human	23	0.043478260869565216
102894708,102894710	U,U	10:102894707-102894709-MM	3	OB	M,M	R00906-02-3_human	23	0.13043478260869565
102894874,102894891,102894893,102894895	M,M,M,M	10:102894874-102894895-MMMM	1	OT	M,M,M,M	R00906-02-3_human	8	0.125
102894874,102894891,102894893,102894895	U,M,M,M	10:102894874-102894895-MMMM	3	OT	M,M,M,M	R00906-02-3_human	8	0.375
102894874,102894891,102894893,102894895	U,U,M,M	10:102894874-102894895-MMMM	1	OT	M,M,M,M	R00906-02-3_human	8	0.125
102894874,102894891,102894893,102894895	U,U,U,U	10:102894874-102894895-MMMM	3	OT	M,M,M,M	R00906-02-3_human	8	0.375
102894875,102894892,102894894,102894896	M,M,M,M	10:102894874-102894895-MMMM	20	OB	M,M,M,M	R00906-02-3_human	24	0.8333333333333334
102894875,102894892,102894894,102894896	U,M,M,M	10:102894874-102894895-MMMM	2	OB	M,M,M,M	R00906-02-3_human	24	0.08333333333333333
102894875,102894892,102894894,102894896	U,U,M,M	10:102894874-102894895-MMMM	2	OB	M,M,M,M	R00906-02-3_human	24	0.08333333333333333
102894960,102894979,102894982	M,M,M	10:102894960-102894982-MMM	3	OT	M,M,M	R00906-02-3_human	5	0.6
102894960,102894979,102894982	U,U,U	10:102894960-102894982-MMM	2	OT	M,M,M	R00906-02-3_human	5	0.4
102894961,102894980,102894983	M,M,M	10:102894960-102894982-MMM	2	OB	M,M,M	R00906-02-3_human	33	0.06060606060606061
102894961,102894980,102894983	M,M,U	10:102894960-102894982-MMM	1	OB	M,M,M	R00906-02-3_human	33	0.030303030303030304
102894961,102894980,102894983	M,U,M	10:102894960-102894982-MMM	2	OB	M,M,M	R00906-02-3_human	33	0.06060606060606061
102894961,102894980,102894983	M,U,U	10:102894960-102894982-MMM	14	OB	M,M,M	R00906-02-3_human	33	0.42424242424242425
102894961,102894980,102894983	U,U,U	10:102894960-102894982-MMM	14	OB	M,M,M	R00906-02-3_human	33	0.42424242424242425
102895106,102895112,102895133	M,M,M	10:102895106-102895133-MMM	71	OT	M,M,M	R00906-02-3_human	92	0.7717391304347826
102895106,102895112,102895133	M,M,U	10:102895106-102895133-MMM	18	OT	M,M,M	R00906-02-3_human	92	0.1956521739130435
102895106,102895112,102895133	U,M,M	10:102895106-102895133-MMM	3	OT	M,M,M	R00906-02-3_human	92	0.03260869565217391
102895107,102895113,102895134	M,M,M	10:102895106-102895133-MMM	144	OB	M,M,M	R00906-02-3_human	193	0.7461139896373057
102895107,102895113,102895134	M,M,U	10:102895106-102895133-MMM	33	OB	M,M,M	R00906-02-3_human	193	0.17098445595854922
102895107,102895113,102895134	M,U,M	10:102895106-102895133-MMM	1	OB	M,M,M	R00906-02-3_human	193	0.0051813471502590676
102895107,102895113,102895134	M,U,U	10:102895106-102895133-MMM	1	OB	M,M,M	R00906-02-3_human	193	0.0051813471502590676
102895107,102895113,102895134	U,M,M	10:102895106-102895133-MMM	6	OB	M,M,M	R00906-02-3_human	193	0.031088082901554404
102895107,102895113,102895134	U,U,M	10:102895106-102895133-MMM	3	OB	M,M,M	R00906-02-3_human	193	0.015544041450777202
102895107,102895113,102895134	U,U,U	10:102895106-102895133-MMM	5	OB	M,M,M	R00906-02-3_human	193	0.025906735751295335
105877944,105877952	M,M	10:105877944-105877952-UU	13	OT	U,U	R00906-02-3_human	1229	0.010577705451586655
105877944,105877952	U,U	10:105877944-105877952-UU	1216	OT	U,U	R00906-02-3_human	1229	0.9894222945484134
105877945,105877953	U,U	10:105877944-105877952-UU	923	OB	U,U	R00906-02-3_human	923	1.0
105877988,105877993	M,M	10:105877988-105877993-UU	11	OT	U,U	R00906-02-3_human	1264	0.00870253164556962
105877988,105877993	U,U	10:105877988-105877993-UU	1253	OT	U,U	R00906-02-3_human	1264	0.9912974683544303
105877989,105877994	U,U	10:105877988-105877993-UU	947	OB	U,U	R00906-02-3_human	947	1.0
106400278,106400285,106400289,106400299,106400301,106400305	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	15	OT	M,M,M,M,M,M	R00906-02-3_human	34	0.4411764705882353
106400278,106400285,106400289,106400299,106400301,106400305	U,M,M,M,M,M	10:106400278-106400305-MMMMMM	2	OT	M,M,M,M,M,M	R00906-02-3_human	34	0.058823529411764705
106400278,106400285,106400289,106400299,106400301,106400305	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	17	OT	M,M,M,M,M,M	R00906-02-3_human	34	0.5
106400279,106400286,106400290,106400300,106400302,106400306	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	3	OB	M,M,M,M,M,M	R00906-02-3_human	8	0.375
106400279,106400286,106400290,106400300,106400302,106400306	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	5	OB	M,M,M,M,M,M	R00906-02-3_human	8	0.625
111964240,111964249,111964258	M,M,M	10:111964240-111964258-UUU	1	OT	U,U,U	R00906-02-3_human	542	0.0018450184501845018
111964240,111964249,111964258	M,U,U	10:111964240-111964258-UUU	7	OT	U,U,U	R00906-02-3_human	542	0.012915129151291513
111964240,111964249,111964258	U,M,M	10:111964240-111964258-UUU	9	OT	U,U,U	R00906-02-3_human	542	0.016605166051660517
111964240,111964249,111964258	U,M,U	10:111964240-111964258-UUU	7	OT	U,U,U	R00906-02-3_human	542	0.012915129151291513
111964240,111964249,111964258	U,U,M	10:111964240-111964258-UUU	51	OT	U,U,U	R00906-02-3_human	542	0.0940959409594096
111964240,111964249,111964258	U,U,U	10:111964240-111964258-UUU	467	OT	U,U,U	R00906-02-3_human	542	0.8616236162361623
111964241,111964250,111964259	M,M,M	10:111964240-111964258-UUU	1	OB	U,U,U	R00906-02-3_human	748	0.001336898395721925
111964241,111964250,111964259	M,M,U	10:111964240-111964258-UUU	10	OB	U,U,U	R00906-02-3_human	748	0.013368983957219251
111964241,111964250,111964259	M,U,M	10:111964240-111964258-UUU	5	OB	U,U,U	R00906-02-3_human	748	0.0066844919786096255
111964241,111964250,111964259	M,U,U	10:111964240-111964258-UUU	35	OB	U,U,U	R00906-02-3_human	748	0.04679144385026738
111964241,111964250,111964259	U,M,M	10:111964240-111964258-UUU	5	OB	U,U,U	R00906-02-3_human	748	0.0066844919786096255
111964241,111964250,111964259	U,M,U	10:111964240-111964258-UUU	11	OB	U,U,U	R00906-02-3_human	748	0.014705882352941176
111964241,111964250,111964259	U,U,M	10:111964240-111964258-UUU	48	OB	U,U,U	R00906-02-3_human	748	0.06417112299465241
111964241,111964250,111964259	U,U,U	10:111964240-111964258-UUU	633	OB	U,U,U	R00906-02-3_human	748	0.8462566844919787
115423110,115423112,115423122	U,U,M	10:115423110-115423122-UUU	2	OT	U,U,U	R00906-02-3_human	541	0.0036968576709796672
115423110,115423112,115423122	U,U,U	10:115423110-115423122-UUU	539	OT	U,U,U	R00906-02-3_human	541	0.9963031423290203
115423111,115423113,115423123	M,U,U	10:115423110-115423122-UUU	4	OB	U,U,U	R00906-02-3_human	879	0.004550625711035267
115423111,115423113,115423123	U,M,U	10:115423110-115423122-UUU	3	OB	U,U,U	R00906-02-3_human	879	0.0034129692832764505
115423111,115423113,115423123	U,U,M	10:115423110-115423122-UUU	2	OB	U,U,U	R00906-02-3_human	879	0.0022753128555176336
115423111,115423113,115423123	U,U,U	10:115423110-115423122-UUU	870	OB	U,U,U	R00906-02-3_human	879	0.9897610921501706
118031404,118031406,118031422	M,M,M	10:118031404-118031422-MMM	9	OT	M,M,M	R00906-02-3_human	13	0.6923076923076923
118031404,118031406,118031422	U,U,U	10:118031404-118031422-MMM	4	OT	M,M,M	R00906-02-3_human	13	0.3076923076923077
118031405,118031407,118031423	M,M,M	10:118031404-118031422-MMM	3	OB	M,M,M	R00906-02-3_human	7	0.42857142857142855
118031405,118031407,118031423	U,U,U	10:118031404-118031422-MMM	4	OB	M,M,M	R00906-02-3_human	7	0.5714285714285714
