Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	433	OT	M,M	R00906-06-7_human	439	0.9863325740318907
101089059,101089077	M,U	10:101089059-101089077-MM	2	OT	M,M	R00906-06-7_human	439	0.004555808656036446
101089059,101089077	U,M	10:101089059-101089077-MM	2	OT	M,M	R00906-06-7_human	439	0.004555808656036446
101089059,101089077	U,U	10:101089059-101089077-MM	2	OT	M,M	R00906-06-7_human	439	0.004555808656036446
101089060,101089078	M,M	10:101089059-101089077-MM	512	OB	M,M	R00906-06-7_human	526	0.973384030418251
101089060,101089078	U,M	10:101089059-101089077-MM	3	OB	M,M	R00906-06-7_human	526	0.005703422053231939
101089060,101089078	U,U	10:101089059-101089077-MM	11	OB	M,M	R00906-06-7_human	526	0.02091254752851711
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	345	OT	M,M,M	R00906-06-7_human	358	0.9636871508379888
101089190,101089205,101089210	M,M,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-06-7_human	358	0.002793296089385475
101089190,101089205,101089210	M,U,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-06-7_human	358	0.002793296089385475
101089190,101089205,101089210	U,M,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-06-7_human	358	0.002793296089385475
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	10	OT	M,M,M	R00906-06-7_human	358	0.027932960893854747
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	524	OB	M,M,M	R00906-06-7_human	537	0.9757914338919925
101089191,101089206,101089211	M,M,U	10:101089190-101089210-MMM	3	OB	M,M,M	R00906-06-7_human	537	0.00558659217877095
101089191,101089206,101089211	U,M,M	10:101089190-101089210-MMM	2	OB	M,M,M	R00906-06-7_human	537	0.0037243947858473
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	8	OB	M,M,M	R00906-06-7_human	537	0.0148975791433892
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	349	OT	M,M,M,M	R00906-06-7_human	367	0.9509536784741145
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-06-7_human	367	0.0027247956403269754
