Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	388	OT	M,M	R00906-06-6_human	404	0.9603960396039604
101089059,101089077	M,U	10:101089059-101089077-MM	3	OT	M,M	R00906-06-6_human	404	0.007425742574257425
101089059,101089077	U,U	10:101089059-101089077-MM	13	OT	M,M	R00906-06-6_human	404	0.03217821782178218
101089060,101089078	M,M	10:101089059-101089077-MM	457	OB	M,M	R00906-06-6_human	482	0.9481327800829875
101089060,101089078	M,U	10:101089059-101089077-MM	1	OB	M,M	R00906-06-6_human	482	0.002074688796680498
101089060,101089078	U,U	10:101089059-101089077-MM	24	OB	M,M	R00906-06-6_human	482	0.04979253112033195
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	333	OT	M,M,M	R00906-06-6_human	357	0.9327731092436975
101089190,101089205,101089210	M,M,U	10:101089190-101089210-MMM	2	OT	M,M,M	R00906-06-6_human	357	0.0056022408963585435
101089190,101089205,101089210	U,M,M	10:101089190-101089210-MMM	3	OT	M,M,M	R00906-06-6_human	357	0.008403361344537815
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	19	OT	M,M,M	R00906-06-6_human	357	0.05322128851540616
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	438	OB	M,M,M	R00906-06-6_human	457	0.9584245076586433
101089191,101089206,101089211	M,M,U	10:101089190-101089210-MMM	2	OB	M,M,M	R00906-06-6_human	457	0.00437636761487965
101089191,101089206,101089211	M,U,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-06-6_human	457	0.002188183807439825
101089191,101089206,101089211	U,M,M	10:101089190-101089210-MMM	2	OB	M,M,M	R00906-06-6_human	457	0.00437636761487965
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	14	OB	M,M,M	R00906-06-6_human	457	0.030634573304157548
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	348	OT	M,M,M,M	R00906-06-6_human	371	0.9380053908355795
101089280,101089285,101089304,101089306	M,M,M,U	10:101089280-101089306-MMMM	3	OT	M,M,M,M	R00906-06-6_human	371	0.008086253369272238
101089280,101089285,101089304,101089306	M,U,M,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-06-6_human	371	0.0026954177897574125
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	19	OT	M,M,M,M	R00906-06-6_human	371	0.05121293800539083
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	397	OB	M,M,M,M	R00906-06-6_human	419	0.9474940334128878
101089281,101089286,101089305,101089307	M,M,U,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-06-6_human	419	0.002386634844868735
101089281,101089286,101089305,101089307	U,M,M,M	10:101089280-101089306-MMMM	5	OB	M,M,M,M	R00906-06-6_human	419	0.011933174224343675
101089281,101089286,101089305,101089307	U,M,U,U	10:101089280-101089306-MMMM	2	OB	M,M,M,M	R00906-06-6_human	419	0.00477326968973747
101089281,101089286,101089305,101089307	U,U,M,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-06-6_human	419	0.002386634844868735
101089281,101089286,101089305,101089307	U,U,U,U	10:101089280-101089306-MMMM	13	OB	M,M,M,M	R00906-06-6_human	419	0.031026252983293555
101089331,101089333,101089336,101089339	M,M,M,M	10:101089331-101089339-MMMM	422	OT	M,M,M,M	R00906-06-6_human	441	0.9569160997732427
101089331,101089333,101089336,101089339	M,M,U,U	10:101089331-101089339-MMMM	2	OT	M,M,M,M	R00906-06-6_human	441	0.0045351473922902496
101089331,101089333,101089336,101089339	U,M,M,M	10:101089331-101089339-MMMM	3	OT	M,M,M,M	R00906-06-6_human	441	0.006802721088435374
101089331,101089333,101089336,101089339	U,U,U,U	10:101089331-101089339-MMMM	14	OT	M,M,M,M	R00906-06-6_human	441	0.031746031746031744
101089332,101089334,101089337,101089340	M,M,M,M	10:101089331-101089339-MMMM	458	OB	M,M,M,M	R00906-06-6_human	473	0.9682875264270613
101089332,101089334,101089337,101089340	M,M,M,U	10:101089331-101089339-MMMM	1	OB	M,M,M,M	R00906-06-6_human	473	0.0021141649048625794
101089332,101089334,101089337,101089340	M,M,U,M	10:101089331-101089339-MMMM	4	OB	M,M,M,M	R00906-06-6_human	473	0.008456659619450317
