Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	188	OT	M,M	R00906-04-3_human	211	0.8909952606635071
101089059,101089077	M,U	10:101089059-101089077-MM	4	OT	M,M	R00906-04-3_human	211	0.018957345971563982
101089059,101089077	U,M	10:101089059-101089077-MM	1	OT	M,M	R00906-04-3_human	211	0.004739336492890996
101089059,101089077	U,U	10:101089059-101089077-MM	18	OT	M,M	R00906-04-3_human	211	0.08530805687203792
101089060,101089078	M,M	10:101089059-101089077-MM	158	OB	M,M	R00906-04-3_human	166	0.9518072289156626
101089060,101089078	M,U	10:101089059-101089077-MM	1	OB	M,M	R00906-04-3_human	166	0.006024096385542169
101089060,101089078	U,M	10:101089059-101089077-MM	2	OB	M,M	R00906-04-3_human	166	0.012048192771084338
101089060,101089078	U,U	10:101089059-101089077-MM	5	OB	M,M	R00906-04-3_human	166	0.030120481927710843
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	150	OT	M,M,M	R00906-04-3_human	157	0.9554140127388535
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	7	OT	M,M,M	R00906-04-3_human	157	0.044585987261146494
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	199	OB	M,M,M	R00906-04-3_human	203	0.9802955665024631
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	4	OB	M,M,M	R00906-04-3_human	203	0.019704433497536946
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	138	OT	M,M,M,M	R00906-04-3_human	145	0.9517241379310345
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-04-3_human	145	0.006896551724137931
101089280,101089285,101089304,101089306	U,M,M,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-04-3_human	145	0.006896551724137931
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	5	OT	M,M,M,M	R00906-04-3_human	145	0.034482758620689655
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	170	OB	M,M,M,M	R00906-04-3_human	175	0.9714285714285714
101089281,101089286,101089305,101089307	U,M,M,M	10:101089280-101089306-MMMM	3	OB	M,M,M,M	R00906-04-3_human	175	0.017142857142857144
101089281,101089286,101089305,101089307	U,U,U,U	10:101089280-101089306-MMMM	2	OB	M,M,M,M	R00906-04-3_human	175	0.011428571428571429
101089331,101089333,101089336,101089339	M,M,M,M	10:101089331-101089339-MMMM	168	OT	M,M,M,M	R00906-04-3_human	176	0.9545454545454546
101089331,101089333,101089336,101089339	M,M,M,U	10:101089331-101089339-MMMM	1	OT	M,M,M,M	R00906-04-3_human	176	0.005681818181818182
101089331,101089333,101089336,101089339	U,M,M,M	10:101089331-101089339-MMMM	1	OT	M,M,M,M	R00906-04-3_human	176	0.005681818181818182
101089331,101089333,101089336,101089339	U,U,U,U	10:101089331-101089339-MMMM	6	OT	M,M,M,M	R00906-04-3_human	176	0.03409090909090909
101089332,101089334,101089337,101089340	M,M,M,M	10:101089331-101089339-MMMM	181	OB	M,M,M,M	R00906-04-3_human	187	0.9679144385026738
101089332,101089334,101089337,101089340	M,U,M,M	10:101089331-101089339-MMMM	1	OB	M,M,M,M	R00906-04-3_human	187	0.0053475935828877
101089332,101089334,101089337,101089340	U,M,M,M	10:101089331-101089339-MMMM	1	OB	M,M,M,M	R00906-04-3_human	187	0.0053475935828877
101089332,101089334,101089337,101089340	U,M,U,U	10:101089331-101089339-MMMM	1	OB	M,M,M,M	R00906-04-3_human	187	0.0053475935828877
101089332,101089334,101089337,101089340	U,U,U,U	10:101089331-101089339-MMMM	3	OB	M,M,M,M	R00906-04-3_human	187	0.016042780748663103
102894707,102894709	M,M	10:102894707-102894709-MM	228	OT	M,M	R00906-04-3_human	244	0.9344262295081968
102894707,102894709	U,M	10:102894707-102894709-MM	7	OT	M,M	R00906-04-3_human	244	0.028688524590163935
102894707,102894709	U,U	10:102894707-102894709-MM	9	OT	M,M	R00906-04-3_human	244	0.036885245901639344
102894708,102894710	M,M	10:102894707-102894709-MM	97	OB	M,M	R00906-04-3_human	99	0.9797979797979798
102894708,102894710	M,U	10:102894707-102894709-MM	1	OB	M,M	R00906-04-3_human	99	0.010101010101010102
102894708,102894710	U,M	10:102894707-102894709-MM	1	OB	M,M	R00906-04-3_human	99	0.010101010101010102
102894874,102894891,102894893,102894895	M,M,M,M	10:102894874-102894895-MMMM	15	OT	M,M,M,M	R00906-04-3_human	22	0.6818181818181818
102894874,102894891,102894893,102894895	M,U,M,M	10:102894874-102894895-MMMM	1	OT	M,M,M,M	R00906-04-3_human	22	0.045454545454545456
102894874,102894891,102894893,102894895	M,U,U,U	10:102894874-102894895-MMMM	2	OT	M,M,M,M	R00906-04-3_human	22	0.09090909090909091
102894874,102894891,102894893,102894895	U,M,M,M	10:102894874-102894895-MMMM	4	OT	M,M,M,M	R00906-04-3_human	22	0.18181818181818182
102894875,102894892,102894894,102894896	M,M,M,M	10:102894874-102894895-MMMM	89	OB	M,M,M,M	R00906-04-3_human	103	0.8640776699029126
102894875,102894892,102894894,102894896	M,U,U,U	10:102894874-102894895-MMMM	1	OB	M,M,M,M	R00906-04-3_human	103	0.009708737864077669
102894875,102894892,102894894,102894896	U,M,M,M	10:102894874-102894895-MMMM	12	OB	M,M,M,M	R00906-04-3_human	103	0.11650485436893204
102894875,102894892,102894894,102894896	U,U,U,U	10:102894874-102894895-MMMM	1	OB	M,M,M,M	R00906-04-3_human	103	0.009708737864077669
102894960,102894979,102894982	M,M,M	10:102894960-102894982-MMM	51	OT	M,M,M	R00906-04-3_human	54	0.9444444444444444
102894960,102894979,102894982	U,U,U	10:102894960-102894982-MMM	3	OT	M,M,M	R00906-04-3_human	54	0.05555555555555555
102894961,102894980,102894983	M,M,M	10:102894960-102894982-MMM	51	OB	M,M,M	R00906-04-3_human	96	0.53125
102894961,102894980,102894983	M,M,U	10:102894960-102894982-MMM	2	OB	M,M,M	R00906-04-3_human	96	0.020833333333333332
102894961,102894980,102894983	M,U,U	10:102894960-102894982-MMM	6	OB	M,M,M	R00906-04-3_human	96	0.0625
102894961,102894980,102894983	U,M,M	10:102894960-102894982-MMM	1	OB	M,M,M	R00906-04-3_human	96	0.010416666666666666
102894961,102894980,102894983	U,U,U	10:102894960-102894982-MMM	36	OB	M,M,M	R00906-04-3_human	96	0.375
102895106,102895112,102895133	M,M,M	10:102895106-102895133-MMM	196	OT	M,M,M	R00906-04-3_human	208	0.9423076923076923
102895106,102895112,102895133	M,M,U	10:102895106-102895133-MMM	8	OT	M,M,M	R00906-04-3_human	208	0.038461538461538464
102895106,102895112,102895133	U,M,M	10:102895106-102895133-MMM	2	OT	M,M,M	R00906-04-3_human	208	0.009615384615384616
102895106,102895112,102895133	U,U,U	10:102895106-102895133-MMM	2	OT	M,M,M	R00906-04-3_human	208	0.009615384615384616
102895107,102895113,102895134	M,M,M	10:102895106-102895133-MMM	322	OB	M,M,M	R00906-04-3_human	362	0.8895027624309392
102895107,102895113,102895134	M,M,U	10:102895106-102895133-MMM	31	OB	M,M,M	R00906-04-3_human	362	0.0856353591160221
102895107,102895113,102895134	M,U,M	10:102895106-102895133-MMM	2	OB	M,M,M	R00906-04-3_human	362	0.0055248618784530384
102895107,102895113,102895134	M,U,U	10:102895106-102895133-MMM	2	OB	M,M,M	R00906-04-3_human	362	0.0055248618784530384
102895107,102895113,102895134	U,M,U	10:102895106-102895133-MMM	2	OB	M,M,M	R00906-04-3_human	362	0.0055248618784530384
102895107,102895113,102895134	U,U,U	10:102895106-102895133-MMM	3	OB	M,M,M	R00906-04-3_human	362	0.008287292817679558
105877944,105877952	M,M	10:105877944-105877952-UU	195	OT	U,U	R00906-04-3_human	1184	0.16469594594594594
105877944,105877952	M,U	10:105877944-105877952-UU	4	OT	U,U	R00906-04-3_human	1184	0.0033783783783783786
105877944,105877952	U,M	10:105877944-105877952-UU	3	OT	U,U	R00906-04-3_human	1184	0.002533783783783784
105877944,105877952	U,U	10:105877944-105877952-UU	982	OT	U,U	R00906-04-3_human	1184	0.8293918918918919
105877945,105877953	M,M	10:105877944-105877952-UU	2	OB	U,U	R00906-04-3_human	822	0.0024330900243309003
105877945,105877953	U,U	10:105877944-105877952-UU	820	OB	U,U	R00906-04-3_human	822	0.9975669099756691
105877988,105877993	M,M	10:105877988-105877993-UU	155	OT	U,U	R00906-04-3_human	1169	0.13259195893926431
105877988,105877993	M,U	10:105877988-105877993-UU	5	OT	U,U	R00906-04-3_human	1169	0.00427715996578272
105877988,105877993	U,M	10:105877988-105877993-UU	1	OT	U,U	R00906-04-3_human	1169	0.000855431993156544
105877988,105877993	U,U	10:105877988-105877993-UU	1008	OT	U,U	R00906-04-3_human	1169	0.8622754491017964
105877989,105877994	M,M	10:105877988-105877993-UU	1	OB	U,U	R00906-04-3_human	851	0.0011750881316098707
105877989,105877994	M,U	10:105877988-105877993-UU	1	OB	U,U	R00906-04-3_human	851	0.0011750881316098707
105877989,105877994	U,M	10:105877988-105877993-UU	1	OB	U,U	R00906-04-3_human	851	0.0011750881316098707
105877989,105877994	U,U	10:105877988-105877993-UU	848	OB	U,U	R00906-04-3_human	851	0.9964747356051704
106400278,106400285,106400289,106400299,106400301,106400305	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	115	OT	M,M,M,M,M,M	R00906-04-3_human	127	0.905511811023622
106400278,106400285,106400289,106400299,106400301,106400305	M,M,M,M,U,M	10:106400278-106400305-MMMMMM	2	OT	M,M,M,M,M,M	R00906-04-3_human	127	0.015748031496062992
106400278,106400285,106400289,106400299,106400301,106400305	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	10	OT	M,M,M,M,M,M	R00906-04-3_human	127	0.07874015748031496
106400279,106400286,106400290,106400300,106400302,106400306	M,M,M,M,M,M	10:106400278-106400305-MMMMMM	65	OB	M,M,M,M,M,M	R00906-04-3_human	69	0.9420289855072463
106400279,106400286,106400290,106400300,106400302,106400306	M,U,U,U,U,U	10:106400278-106400305-MMMMMM	1	OB	M,M,M,M,M,M	R00906-04-3_human	69	0.014492753623188406
106400279,106400286,106400290,106400300,106400302,106400306	U,U,U,M,M,U	10:106400278-106400305-MMMMMM	1	OB	M,M,M,M,M,M	R00906-04-3_human	69	0.014492753623188406
106400279,106400286,106400290,106400300,106400302,106400306	U,U,U,U,U,U	10:106400278-106400305-MMMMMM	2	OB	M,M,M,M,M,M	R00906-04-3_human	69	0.028985507246376812
111964240,111964249,111964258	M,U,U	10:111964240-111964258-UUU	12	OT	U,U,U	R00906-04-3_human	487	0.024640657084188913
111964240,111964249,111964258	U,M,M	10:111964240-111964258-UUU	5	OT	U,U,U	R00906-04-3_human	487	0.01026694045174538
111964240,111964249,111964258	U,M,U	10:111964240-111964258-UUU	6	OT	U,U,U	R00906-04-3_human	487	0.012320328542094456
111964240,111964249,111964258	U,U,M	10:111964240-111964258-UUU	24	OT	U,U,U	R00906-04-3_human	487	0.049281314168377825
111964240,111964249,111964258	U,U,U	10:111964240-111964258-UUU	440	OT	U,U,U	R00906-04-3_human	487	0.9034907597535934
111964241,111964250,111964259	M,M,U	10:111964240-111964258-UUU	13	OB	U,U,U	R00906-04-3_human	541	0.024029574861367836
111964241,111964250,111964259	M,U,M	10:111964240-111964258-UUU	4	OB	U,U,U	R00906-04-3_human	541	0.0073937153419593345
111964241,111964250,111964259	M,U,U	10:111964240-111964258-UUU	19	OB	U,U,U	R00906-04-3_human	541	0.03512014787430684
111964241,111964250,111964259	U,M,M	10:111964240-111964258-UUU	9	OB	U,U,U	R00906-04-3_human	541	0.0166358595194085
111964241,111964250,111964259	U,M,U	10:111964240-111964258-UUU	10	OB	U,U,U	R00906-04-3_human	541	0.018484288354898338
