Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	46	OT	M,M	R00906-08-1_human	500	0.092
101089059,101089077	M,U	10:101089059-101089077-MM	1	OT	M,M	R00906-08-1_human	500	0.002
101089059,101089077	U,M	10:101089059-101089077-MM	1	OT	M,M	R00906-08-1_human	500	0.002
101089059,101089077	U,U	10:101089059-101089077-MM	452	OT	M,M	R00906-08-1_human	500	0.904
101089060,101089078	M,M	10:101089059-101089077-MM	49	OB	M,M	R00906-08-1_human	547	0.08957952468007313
101089060,101089078	M,U	10:101089059-101089077-MM	1	OB	M,M	R00906-08-1_human	547	0.0018281535648994515
101089060,101089078	U,M	10:101089059-101089077-MM	1	OB	M,M	R00906-08-1_human	547	0.0018281535648994515
101089060,101089078	U,U	10:101089059-101089077-MM	496	OB	M,M	R00906-08-1_human	547	0.906764168190128
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	36	OT	M,M,M	R00906-08-1_human	587	0.06132879045996593
101089190,101089205,101089210	U,U,M	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-08-1_human	587	0.0017035775127768314
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	550	OT	M,M,M	R00906-08-1_human	587	0.9369676320272572
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	52	OB	M,M,M	R00906-08-1_human	627	0.08293460925039872
101089191,101089206,101089211	U,M,M	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-08-1_human	627	0.001594896331738437
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	574	OB	M,M,M	R00906-08-1_human	627	0.9154704944178629
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	34	OT	M,M,M,M	R00906-08-1_human	615	0.055284552845528454
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-08-1_human	615	0.0016260162601626016
101089280,101089285,101089304,101089306	U,U,M,U	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-08-1_human	615	0.0016260162601626016
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	579	OT	M,M,M,M	R00906-08-1_human	615	0.9414634146341463
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	69	OB	M,M,M,M	R00906-08-1_human	610	0.11311475409836065
101089281,101089286,101089305,101089307	U,M,M,M	10:101089280-101089306-MMMM	2	OB	M,M,M,M	R00906-08-1_human	610	0.003278688524590164
101089281,101089286,101089305,101089307	U,U,M,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-08-1_human	610	0.001639344262295082
101089281,101089286,101089305,101089307	U,U,M,U	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-08-1_human	610	0.001639344262295082
101089281,101089286,101089305,101089307	U,U,U,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-08-1_human	610	0.001639344262295082
101089281,101089286,101089305,101089307	U,U,U,U	10:101089280-101089306-MMMM	536	OB	M,M,M,M	R00906-08-1_human	610	0.8786885245901639
101089331,101089333,101089336,101089339	M,M,M,M	10:101089331-101089339-MMMM	51	OT	M,M,M,M	R00906-08-1_human	661	0.07715582450832073
101089331,101089333,101089336,101089339	M,U,U,U	10:101089331-101089339-MMMM	1	OT	M,M,M,M	R00906-08-1_human	661	0.0015128593040847202
101089331,101089333,101089336,101089339	U,U,U,U	10:101089331-101089339-MMMM	609	OT	M,M,M,M	R00906-08-1_human	661	0.9213313161875946
101089332,101089334,101089337,101089340	M,M,M,M	10:101089331-101089339-MMMM	71	OB	M,M,M,M	R00906-08-1_human	637	0.11145996860282574
101089332,101089334,101089337,101089340	U,U,U,U	10:101089331-101089339-MMMM	566	OB	M,M,M,M	R00906-08-1_human	637	0.8885400313971743
102894707,102894709	M,M	10:102894707-102894709-MM	206	OT	M,M	R00906-08-1_human	540	0.3814814814814815
