Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	685	OT	M,M	R00906-04-7_human	693	0.9884559884559885
101089059,101089077	M,U	10:101089059-101089077-MM	7	OT	M,M	R00906-04-7_human	693	0.010101010101010102
101089059,101089077	U,U	10:101089059-101089077-MM	1	OT	M,M	R00906-04-7_human	693	0.001443001443001443
101089060,101089078	M,M	10:101089059-101089077-MM	681	OB	M,M	R00906-04-7_human	686	0.9927113702623906
101089060,101089078	M,U	10:101089059-101089077-MM	3	OB	M,M	R00906-04-7_human	686	0.004373177842565598
101089060,101089078	U,M	10:101089059-101089077-MM	1	OB	M,M	R00906-04-7_human	686	0.0014577259475218659
101089060,101089078	U,U	10:101089059-101089077-MM	1	OB	M,M	R00906-04-7_human	686	0.0014577259475218659
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	388	OT	M,M,M	R00906-04-7_human	397	0.9773299748110831
101089190,101089205,101089210	M,M,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-04-7_human	397	0.0025188916876574307
101089190,101089205,101089210	M,U,M	10:101089190-101089210-MMM	2	OT	M,M,M	R00906-04-7_human	397	0.005037783375314861
101089190,101089205,101089210	M,U,U	10:101089190-101089210-MMM	5	OT	M,M,M	R00906-04-7_human	397	0.012594458438287154
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-04-7_human	397	0.0025188916876574307
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	573	OB	M,M,M	R00906-04-7_human	577	0.9930675909878682
101089191,101089206,101089211	M,M,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-7_human	577	0.0017331022530329288
101089191,101089206,101089211	M,U,M	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-7_human	577	0.0017331022530329288
101089191,101089206,101089211	M,U,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-7_human	577	0.0017331022530329288
101089191,101089206,101089211	U,M,M	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-7_human	577	0.0017331022530329288
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	441	OT	M,M,M,M	R00906-04-7_human	451	0.9778270509977827
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-04-7_human	451	0.0022172949002217295
101089280,101089285,101089304,101089306	M,U,M,M	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-04-7_human	451	0.004434589800443459
101089280,101089285,101089304,101089306	U,M,M,M	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-04-7_human	451	0.004434589800443459
101089280,101089285,101089304,101089306	U,M,U,M	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-04-7_human	451	0.004434589800443459
101089280,101089285,101089304,101089306	U,U,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-04-7_human	451	0.0022172949002217295
101089280,101089285,101089304,101089306	U,U,U,U	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-04-7_human	451	0.004434589800443459
