1	913698	913706	1:913698-913706-UU	1:913698-913706	913698:U,913706:U	913699:U,913707:U
1	913706	913728	1:913706-913728-UU	1:913706-913728	913706:U,913728:U	913707:U,913729:U
1	913728	913752	1:913728-913752-UU	1:913728-913752	913728:U,913752:U	913729:U,913753:U
1	913752	913779	1:913752-913779-UUUUU	1:913752-913779	913752:U,913759:U,913768:U,913775:U,913779:U	913753:U,913760:U,913769:U,913776:U,913780:U
1	913759	913788	1:913759-913788-UUUUU	1:913759-913788	913759:U,913768:U,913775:U,913779:U,913788:U	913760:U,913769:U,913776:U,913780:U,913789:U
1	913768	913797	1:913768-913797-UUUUUU	1:913768-913797	913768:U,913775:U,913779:U,913788:U,913790:U,913797:U	913769:U,913776:U,913780:U,913789:U,913791:U,913798:U
1	913779	913808	1:913779-913808-UUUUU	1:913779-913808	913779:U,913788:U,913790:U,913797:U,913808:U	913780:U,913789:U,913791:U,913798:U,913809:U
1	913788	913814	1:913788-913814-UUUUU	1:913788-913814	913788:U,913790:U,913797:U,913808:U,913814:U	913789:U,913791:U,913798:U,913809:U,913815:U
1	942329	942354	1:942329-942354-UU	1:942329-942354	942329:U,942354:U	942330:U,942355:U
1	942354	942371	1:942354-942371-UUUU	1:942354-942371	942354:U,942361:U,942368:U,942371:U	942355:U,942362:U,942369:U,942372:U
1	942438	942459	1:942438-942459-UUUU	1:942438-942459	942438:U,942442:U,942451:U,942459:U	942439:U,942443:U,942452:U,942460:U
1	942442	942471	1:942442-942471-UUUUU	1:942442-942471	942442:U,942451:U,942459:U,942469:U,942471:U	942443:U,942452:U,942460:U,942470:U,942472:U
1	942451	942474	1:942451-942474-UUUUU	1:942451-942474	942451:U,942459:U,942469:U,942471:U,942474:U	942452:U,942460:U,942470:U,942472:U,942475:U
1	942469	942498	1:942469-942498-UUUUUU	1:942469-942498	942469:U,942471:U,942474:U,942481:U,942489:U,942498:U	942470:U,942472:U,942475:U,942482:U,942490:U,942499:U
1	1267412	1267440	1:1267412-1267440-UUU	1:1267412-1267440	1267412:U,1267436:U,1267440:U	1267413:U,1267437:U,1267441:U
1	1267436	1267464	1:1267436-1267464-UUU	1:1267436-1267464	1267436:U,1267440:U,1267464:U	1267437:U,1267441:U,1267465:U
1	1267440	1267469	1:1267440-1267469-UUU	1:1267440-1267469	1267440:U,1267464:U,1267469:U	1267441:U,1267465:U,1267470:U
1	1267464	1267482	1:1267464-1267482-UUUU	1:1267464-1267482	1267464:U,1267469:U,1267478:U,1267482:U	1267465:U,1267470:U,1267479:U,1267483:U
1	1267478	1267504	1:1267478-1267504-UUUUUU	1:1267478-1267504	1267478:U,1267482:U,1267495:U,1267499:U,1267502:U,1267504:U	1267479:U,1267483:U,1267496:U,1267500:U,1267503:U,1267505:U
1	1267495	1267523	1:1267495-1267523-UUUUU	1:1267495-1267523	1267495:U,1267499:U,1267502:U,1267504:U,1267523:U	1267496:U,1267500:U,1267503:U,1267505:U,1267524:U
